类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现
股票,DLTR,104.75,1.55,58.1,1.0,110,⭐ 强买入,否
股票,MLCO,9.06,0.67,62.2,0.95,110,⭐ 强买入,否
股票,BP,36.53,0.11,61.3,0.98,110,⭐ 强买入,否
股票,E,38.22,0.37,70.2,0.75,110,⭐ 强买入,否
股票,COP,91.37,2.18,56.4,1.12,110,⭐ 强买入,否
股票,NMR,7.39,0.96,61.2,0.94,110,⭐ 强买入,否
股票,MATX,106.84,0.23,58.0,0.77,110,⭐ 强买入,否
股票,JBSS,68.51,0.97,61.3,0.63,110,⭐ 强买入,否
股票,NTR,59.37,0.85,58.2,0.94,110,⭐ 强买入,否
股票,AFBI,19.36,0.47,57.8,0.13,110,⭐ 强买入,否
股票,H,152.3,0.12,57.7,0.51,110,⭐ 强买入,否
股票,HTHT,43.8,-2.65,68.7,1.48,110,⭐ 强买入,否
股票,PODD,332.7,0.01,58.6,0.73,110,⭐ 强买入,否
股票,VCEL,39.86,0.05,65.1,0.66,110,⭐ 强买入,否
股票,CBL,32.45,0.22,65.7,0.75,110,⭐ 强买入,否
股票,FOLD,9.48,1.07,68.7,0.55,110,⭐ 强买入,否
股票,NOV,15.72,2.95,65.8,1.14,110,⭐ 强买入,否
股票,JAZZ,141.07,-0.45,60.8,1.04,110,⭐ 强买入,否
股票,SOLV,75.66,0.58,65.5,1.08,110,⭐ 强买入,否
股票,EW,86.3,0.22,73.5,0.62,110,⭐ 强买入,否
股票,AKR,20.17,0.6,57.9,0.69,110,⭐ 强买入,否
股票,TRGP,173.1,2.0,64.7,1.1,110,⭐ 强买入,否
股票,SBUX,84.78,-1.92,51.4,1.21,105,⭐ 强买入,否
股票,SJM,109.14,-1.05,60.4,1.16,105,⭐ 强买入,否
股票,IFF,65.88,-2.3,57.8,0.88,105,⭐ 强买入,否
股票,MTG,28.21,0.07,56.8,0.73,105,⭐ 强买入,否
股票,MGIC,23.99,0.38,73.7,1.19,105,⭐ 强买入,否
股票,SWX,81.3,-0.16,56.3,1.05,105,⭐ 强买入,否
股票,MCD,307.03,-0.18,55.1,1.02,105,⭐ 强买入,否
股票,ARR,16.69,0.85,60.5,1.23,105,⭐ 强买入,否
股票,AMCR,8.48,-1.17,60.5,0.79,105,⭐ 强买入,否
股票,HVT,22.56,-1.7,57.0,1.02,105,⭐ 强买入,否
股票,CHRW,152.8,0.75,67.5,0.75,105,⭐ 强买入,否
股票,ROST,160.58,-0.77,56.6,1.43,105,⭐ 强买入,否
股票,XPEV,25.01,-5.19,55.2,1.75,105,⭐ 强买入,否
股票,FTI,43.69,1.23,68.7,1.06,105,⭐ 强买入,否
股票,AEO,17.56,0.11,58.3,1.05,105,⭐ 强买入,否
股票,AFG,142.44,-0.52,61.3,1.1,105,⭐ 强买入,否
股票,HST,17.59,0.11,59.4,0.67,105,⭐ 强买入,否
