类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现,基本面评分,估值评分,盈利能力评分,成长性评分,财务健康评分,股息评分,PE比率,PB比率,PS比率,净利润率%,ROE%,ROA%,营收增长%,盈利增长%,流动比率,债务股权比,股息收益率%,派息比率%
股票,AFYA,14.84,1.3,56.0,1.08,139,✅ 买入,否,39.0,12.0,10.0,10.0,5.0,2.0,9.827815,0.28372592,0.36497077,20.076,16.721000999999998,8.3450004,10.4,29.799999999999997,0.979,62.144,156.0,16.73
股票,PMT,12.46,0.4,56.9,0.61,139,✅ 买入,否,24.0,12.0,5.0,6.0,1.0,0.0,13.543478,0.81045926,1.9201583,21.614,6.396,0.773,-18.9,54.1,1.08,868.491,1284.0,173.91
股票,FTI,43.69,1.23,68.7,1.06,139,✅ 买入,否,34.0,8.0,8.0,9.0,7.0,2.0,19.68018,5.3099174,1.8028647,9.9209994,29.34,8.369,12.7,19.0,1.13,39.689,46.0,9.0100005
股票,MKTX,174.97,0.56,60.9,0.89,139,✅ 买入,否,29.0,3.0,11.0,3.0,10.0,2.0,29.756802,4.715537,7.749536,26.157000000000004,15.823,11.3649994,1.0,-3.2,7.35,4.81,174.0,51.35999999999999
股票,DLTR,104.75,1.55,58.1,1.0,139,✅ 买入,否,29.0,7.0,6.0,10.0,4.0,2.0,20.300388,5.945961,1.1517178,,20.055,5.29,12.3,47.9,1.036,203.675,0.0,0.0
股票,QSR,68.68,-2.46,55.9,2.12,139,✅ 买入,否,24.0,5.0,7.0,8.0,4.0,0.0,24.35461,6.6589103,2.446688,9.9530004,25.245002,5.91,6.9,21.7,1.059,306.718,361.0,86.52
股票,JKHY,164.02,-0.76,62.7,0.76,139,✅ 买入,否,34.0,5.0,11.0,8.0,8.0,2.0,24.927053,5.474816,4.945134,19.865,23.45,12.581000000000001,7.3,20.9,1.494,3.17,141.0,34.8
股票,HTHT,43.8,-2.65,68.7,1.48,139,✅ 买入,否,29.0,9.0,9.0,8.0,3.0,0.0,26.227545,1.1088607,0.57707304,15.482001,30.476,5.3979997,4.5,44.7,0.808,307.24,407.0,96.819997
股票,CDNA,15.94,0.41,55.4,0.69,139,✅ 买入,否,34.0,9.0,7.0,6.0,10.0,2.0,12.44922,2.633014,2.2893398,19.679001,24.111,,20.7,,3.032,8.885,0.0,0.0
股票,FLNG,26.39,1.34,56.1,1.11,138,✅ 买入,否,23.0,9.0,7.0,1.0,6.0,0.0,14.499999,1.9333334,4.066205,28.055000000000003,12.788,4.393,-5.3,-3.1,3.099,253.966,1137.0,164.84
股票,PODD,332.7,0.01,58.6,0.73,138,✅ 买入,否,28.0,1.0,7.0,10.0,8.0,2.0,96.997086,16.908924,9.280836,9.7629994,19.679001,8.741,29.9,14.799999999999999,2.871,77.711,0.0,0.0
股票,BMRN,54.73,0.94,55.4,0.69,138,✅ 买入,否,28.0,8.0,6.0,2.0,10.0,2.0,20.345724,1.7358623,3.398324,16.82,9.074,6.146,4.1000000000000005,,4.828,9.976,0.0,0.0
股票,MATX,106.84,0.23,58.0,0.77,138,✅ 买入,否,28.0,12.0,7.0,0.0,7.0,2.0,8.168196,1.2387103,0.9847394,12.702,16.381999999999998,6.934,-8.5,-28.000000000000004,0.827,26.736,135.0,10.5500005
股票,UPS,95.98,0.01,62.5,0.78,138,✅ 买入,否,23.0,9.0,8.0,1.0,5.0,0.0,14.834622,5.1438985,0.9098886,6.1490003,33.617999999999995,7.276000000000001,-3.6999999999999997,-14.099999999999998,1.305,184.32,683.0,101.24
股票,AFG,142.44,-0.52,61.3,1.1,137,✅ 买入,否,32.0,10.0,5.0,6.0,9.0,2.0,14.9464855,2.5115492,1.49077,9.961,16.91,2.098,-0.8,19.5,2.164,43.319,247.00000000000003,33.580002
股票,QLYS,143.57,0.17,58.7,0.9,137,✅ 买入,否,32.0,2.0,12.0,8.0,8.0,2.0,27.823647,9.738181,7.8834753,28.963,38.638002,13.691999999999998,10.4,12.1,1.382,10.315,0.0,0.0
股票,BKR,48.73,2.57,55.9,1.04,137,✅ 买入,否,27.0,9.0,7.0,2.0,7.0,2.0,16.803448,2.6473625,1.7352492,10.432999599999999,16.89,5.7729997,1.5,-20.8,1.409,33.042,189.0,31.03
股票,JAZZ,141.07,-0.45,60.8,1.04,137,✅ 买入,否,27.0,10.0,1.0,8.0,6.0,2.0,6.543136,2.1643143,2.0710368,,,4.883999800000001,6.7,19.3,1.652,137.129,0.0,0.0
股票,EW,86.3,0.22,73.5,0.62,137,✅ 买入,否,27.0,2.0,9.0,4.0,10.0,2.0,37.85088,4.9106636,8.511488,23.249,13.492,7.715,14.7,-90.3,4.004,6.862,0.0,0.0
股票,CZNC,19.6,0.46,55.1,1.11,137,✅ 买入,否,22.0,11.0,5.0,5.0,0.0,1.0,11.2,1.0356123,3.1826174,24.751,9.5,1.0170000000000001,5.1,2.1,,,571.0,64.0
股票,GILD,125.02,-0.14,62.3,0.96,137,✅ 买入,否,32.0,5.0,12.0,8.0,5.0,2.0,19.35294,7.2086716,5.3402925,27.882,40.706003,12.570999999999998,3.0,143.0,1.453,116.243,252.99999999999997,48.610002
股票,POR,49.43,-2.0,71.4,1.39,137,✅ 买入,否,22.0,11.0,3.0,4.0,3.0,1.0,17.974546,1.385603,1.6160475,8.63,7.994999999999999,2.782,2.5,3.9,1.075,127.165,425.0,74.55000000000001
股票,CNP,39.74,0.4,58.5,1.14,137,✅ 买入,否,22.0,7.0,4.0,9.0,0.0,2.0,25.1519,2.351201,2.8467178,11.366999999999999,9.606,2.9010000000000002,7.1,50.6,0.513,202.111,221.0,55.059999999999995
股票,CINF,163.9,-1.27,59.6,0.87,136,✅ 买入,否,36.0,10.0,6.0,10.0,8.0,2.0,12.194941,1.659646,2.1451013,17.569000000000003,14.529,4.305,12.2,36.7,1.118,5.732,212.0,25.45
股票,OHI,43.97,1.2,65.1,1.06,136,✅ 买入,否,26.0,4.0,7.0,10.0,5.0,0.0,24.427778,2.5802476,11.474056,46.835,11.4879996,4.4479999999999995,12.9,42.4,0.765,95.487,610.0,148.89
股票,ENVA,125.69,-1.6,57.7,0.78,136,✅ 买入,否,36.0,10.0,10.0,11.0,3.0,2.0,11.616451,2.4364665,2.2402039,20.727,23.807000000000002,5.3590003,15.6,93.0,21.734,322.412,0.0,0.0
股票,CVX,157.62,1.31,57.0,1.12,136,✅ 买入,否,21.0,9.0,3.0,1.0,8.0,0.0,22.168776,1.6717577,1.6701633,6.7669999999999995,7.316000000000001,4.047,-1.4000000000000001,-26.6,1.152,21.239,434.0,95.08
股票,DE,476.23,0.6,55.6,1.03,136,✅ 买入,否,21.0,6.0,7.0,0.0,6.0,2.0,24.881401,5.1137695,2.9093554,11.767,21.399,3.7359999999999998,-8.6,-24.5,2.229,266.767,136.0,33.050000000000004
股票,PGR,225.18,0.91,55.6,0.84,136,✅ 买入,否,36.0,10.0,9.0,8.0,7.0,2.0,12.358946,3.7228448,1.5504419,12.579,34.223998,7.6009996,14.2,12.1,0.297,19.455,218.00000000000003,26.889999999999997
股票,NOV,15.72,2.95,65.8,1.14,135,✅ 买入,否,25.0,11.0,2.0,1.0,9.0,2.0,15.878788,0.8925733,0.6534376,4.3649998000000005,6.033,3.9539999999999997,-0.7000000000000001,-66.7,2.545,36.164,191.0,51.519999999999996
股票,ANIK,9.99,-1.09,59.0,1.84,135,✅ 买入,否,20.0,8.0,0.0,0.0,10.0,2.0,,0.9813359,1.2911929,,,,-5.8999999999999995,,5.322,16.694,0.0,0.0
股票,PAA,16.94,2.29,57.4,1.16,135,✅ 买入,否,25.0,10.0,3.0,6.0,6.0,0.0,16.446604,1.5463259,0.25472924,2.406,10.083,3.848,-7.000000000000001,145.79999999999998,1.041,74.194,897.0000000000001,141.5
股票,CMI,462.61,-1.04,59.4,1.22,135,✅ 买入,否,25.0,7.0,8.0,1.0,7.0,2.0,23.981853,5.293202,1.9216393,7.9450004000000005,22.767,7.9050004,-1.6,-34.1,1.769,62.949,173.0,38.669997
股票,AFBI,19.36,0.47,57.8,0.13,135,✅ 买入,否,25.0,10.0,5.0,8.0,0.0,2.0,16.54701,0.95619106,3.7567573,23.742001,5.947,0.8370000000000001,4.6,30.8,,,0.0,0.0
股票,NMR,7.39,0.96,61.2,0.94,135,✅ 买入,否,25.0,12.0,5.0,4.0,2.0,2.0,9.4743595,0.006220266,0.011020065,18.563,10.889,0.64700004,6.6000000000000005,-5.5,1.538,937.119,529.0,29.389998000000002
股票,TRGP,173.1,2.0,64.7,1.1,135,✅ 买入,否,25.0,5.0,8.0,9.0,1.0,2.0,23.297443,13.739186,2.1381738,9.949,49.85,8.448,7.8,25.7,0.773,615.121,231.0,47.169998
股票,PFG,84.47,-0.18,60.5,0.82,135,✅ 买入,否,30.0,11.0,3.0,6.0,8.0,2.0,12.385631,1.5967562,1.1765538,9.9580005,13.767,0.368,22.2,,1.557,34.137,374.0,44.28
股票,DG,104.3,0.11,56.3,0.92,135,✅ 买入,否,25.0,9.0,4.0,6.0,4.0,2.0,19.314816,2.865306,0.5511682,2.86,15.597999000000002,3.971,5.1,9.4,1.253,213.026,225.99999999999997,43.7
股票,TRV,287.29,-0.05,68.0,1.08,134,✅ 买入,否,34.0,11.0,6.0,8.0,7.0,2.0,11.310631,2.026823,1.324537,12.1350005,19.808999999999997,3.4560002,4.8,52.0,0.338,29.318,153.0,16.919999999999998
股票,ESNT,61.42,0.36,52.0,1.25,134,✅ 买入,否,34.0,10.0,9.0,3.0,10.0,2.0,8.927325,1.0434399,4.6987715,55.627996,12.353,7.468,-1.5,1.2,2.606,8.625,202.0,17.59
股票,POST,106.7,0.34,52.0,0.93,134,✅ 买入,否,29.0,11.0,2.0,7.0,7.0,2.0,18.146257,1.4503587,0.7317019,4.6240002,9.2,4.137,1.9,16.8,2.595,183.459,0.0,0.0
股票,FDX,267.56,0.08,68.7,0.96,134,✅ 买入,否,24.0,10.0,4.0,4.0,4.0,2.0,15.674282,2.2737393,0.7126259,4.6529997,15.004000000000001,4.883999800000001,13.900000000000002,-13.3,1.246,,217.0,32.770002
股票,HST,17.59,0.11,59.4,0.67,134,✅ 买入,否,29.0,9.0,5.0,8.0,6.0,1.0,16.594341,1.8160231,2.0569494,12.403,10.9239995,3.9189997999999995,0.8999999999999999,96.6,1.021,82.827,455.0,75.47
股票,ABBV,232.36,0.03,60.5,0.97,134,✅ 买入,否,14.0,1.0,7.0,3.0,3.0,0.0,176.0303,,6.8853445,4.004,137.961,9.585,9.1,-88.7,0.725,,298.0,490.14996999999994
股票,CF,85.04,0.84,50.6,0.85,134,✅ 买入,否,44.0,10.0,11.0,12.0,9.0,2.0,10.28295,2.7654386,1.9691336,20.472,21.967,9.5649995,21.099999999999998,41.6,2.273,44.133,235.0,24.180001
